top - 21:30:59 up 1 day, 31 min,  1 user,  load average: 0.85, 0.72, 0.74
Tasks: 309 total,   1 running, 308 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.0 us,  3.0 sy,  0.0 ni, 92.1 id,  0.0 wa,  0.0 hi,  1.0 si,  0.0 st
MiB Mem :   7327.8 total,    213.0 free,   4800.9 used,   2314.0 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2212.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    260 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 vcn_enc1
    261 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 jpeg_dec
    262 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 amdgpu_+
    263 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 amdgpu_+
    264 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 amdgpu_+
    265 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 dm_vbla+
    266 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    267 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    268 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    269 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    271 root       0 -20       0      0      0 I   0.0   0.0   0:00.57 kworker+
    278 root       0 -20       0      0      0 I   0.0   0.0   0:00.88 kworker+
    349 root      20   0       0      0      0 S   0.0   0.0   0:15.37 jbd2/nv+
    350 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    401 root      19  -1   84408  31020  29288 S   0.0   0.4   0:03.15 systemd+
    434 root      20   0   25348   5184   1196 S   0.0   0.1   0:01.47 systemd+
    548 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    557 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 USBC000+
    580 root     -51   0       0      0      0 S   0.0   0.0   5:26.13 irq/82-+
    758 systemd+  20   0   24684   5348   1156 S   0.0   0.1   0:02.16 systemd+
    759 systemd+  20   0   90912   1636    772 S   0.0   0.0   0:00.15 systemd+
    807 root      20   0  276308   2456   1348 S   0.0   0.0   0:00.89 account+
    808 root      20   0    2548     68      0 S   0.0   0.0   0:01.26 acpid
    809 avahi     20   0    8528   1272    812 S   0.0   0.0   0:00.46 avahi-d+
    810 root      20   0    8428   2604   2100 S   0.0   0.0   0:00.08 bluetoo+
    812 root      20   0   47316    912    648 S   0.0   0.0   0:00.27 cron
    814 root      20   0   66460   1836     76 S   0.0   0.0   0:00.01 cupsd
    815 message+  20   0   10052   3980   1216 S   0.0   0.1   0:12.78 dbus-da+
    816 root      20   0  522320  10144   5712 S   0.0   0.1   0:13.97 Network+
    821 root      20   0   81976   1196    920 S   0.0   0.0   0:03.64 irqbala+
    826 root      20   0   77580  10676   1996 S   0.0   0.1   0:00.08 network+
    830 root      20   0  234000   2112   1300 S   0.0   0.0   0:00.18 pantheo+
    831 root      20   0  235092   6064   1656 S   0.0   0.1   0:07.82 polkitd
    835 syslog    20   0  224528   2308    712 S   0.0   0.0   0:00.63 rsyslogd
    843 root      20   0 1319108  17460      0 S   0.0   0.2   0:09.80 snapd
    845 root      20   0  273592   2060   1396 S   0.0   0.0   0:00.03 switche+
    851 root      20   0   17496   4280   3124 S   0.0   0.1   0:01.24 systemd+
    856 root      20   0  334692   4424   1976 S   0.0   0.1   0:34.18 touchegg
    858 root      20   0  394136   4404   1508 S   0.0   0.1   0:00.24 udisksd
    860 root      20   0   14084   3312   2208 S   0.0   0.0   0:01.45 wpa_sup+
    866 avahi     20   0    8348    328      0 S   0.0   0.0   0:00.00 avahi-d+
    871 root      20   0  241556   5280   3296 S   0.0   0.1   0:00.33 ModemMa+
    874 kernoops  20   0   11264    444      0 S   0.0   0.0   0:01.62 kernelo+
    890 root      20   0  176476   3344   1688 S   0.0   0.0   0:00.19 cups-br+
    907 kernoops  20   0   11264    440      0 S   0.0   0.0   0:01.64 kernelo+
    932 root      20   0  306020   4180   3040 S   0.0   0.1   0:00.12 lightdm
    987 mysql     20   0 2388344 358024    780 S   0.0   4.8   3:06.91 mysqld
    988 redis     20   0   90688   2248    708 S   0.0   0.0   1:01.02 redis-s+
    999 root      20   0  155728   9912   1780 S   0.0   0.1   0:00.06 unatten+
   1005 root      20   0   46328    360    248 S   0.0   0.0   0:00.00 agetty
   1117 rtkit     21   1  152936    728    496 S   0.0   0.0   0:00.31 rtkit-d+
   1217 root      20   0  290448   3056   1352 S   0.0   0.0   0:02.87 upowerd
   1222 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1258 root      20   0  160336   2964   1604 S   0.0   0.0   0:00.01 lightdm
   1355 root      20   0 1752684  21364      0 S   0.0   0.3   0:19.30 dockerd
   1553 amieo     20   0   19704   5264   3076 S   0.0   0.1   0:00.44 systemd
   1554 amieo     20   0  169992   3832      0 S   0.0   0.1   0:00.00 (sd-pam)
   1560 amieo     20   0 3617020  13360   9460 S   0.0   0.2  19:20.66 pulseau+
   1563 amieo     20   0  278084   1840    736 S   0.0   0.0   0:00.37 gnome-k+
   1566 amieo     20   0  522372   4072   1144 S   0.0   0.1   0:00.52 gnome-s+
   1573 amieo     20   0    9232   3756   1332 S   0.0   0.1   0:03.67 dbus-da+
   1658 amieo     20   0    6044    452      0 S   0.0   0.0   0:00.09 ssh-age+
   1668 amieo     20   0  305388   2016   1388 S   0.0   0.0   0:00.01 at-spi-+
   1673 amieo     20   0    7512   1416    708 S   0.0   0.0   0:00.49 dbus-da+
   1698 amieo     20   0  792016  10224   4640 S   0.0   0.1   0:00.85 gsd-pow+
   1699 amieo     20   0  379704   2368   1628 S   0.0   0.0   0:00.01 io.elem+
   1700 amieo     20   0  494996   2168   1388 S   0.0   0.0   0:00.18 gsd-rfk+
   1701 amieo     20   0  599436   9416   4208 S   0.0   0.1   0:00.45 gsd-col+
   1704 amieo     20   0  357212   2176   1172 S   0.0   0.0   0:00.08 gsd-sou+
   1707 amieo     20   0  277712   2072    996 S   0.0   0.0   0:00.07 gvfsd
   1708 root      20   0 1652084  13504      0 S   0.0   0.2   1:48.39 contain+
   1710 amieo     20   0  353020   2300   1408 S   0.0   0.0   0:00.07 gsd-sma+
   1716 amieo     20   0  349716   3184   2324 S   0.0   0.0   0:01.72 gsd-hou+
   1724 amieo     20   0  378348   2040   1384 S   0.0   0.0   0:00.00 gvfsd-f+
   1725 amieo     20   0  347520   1604   1012 S   0.0   0.0   0:00.08 gsd-a11+
   1726 amieo     20   0  411476   3872   1936 S   0.0   0.1   0:00.08 gsd-dat+
   1735 amieo     20   0  377508   9404   4344 S   0.0   0.1   0:00.30 gsd-key+
   1749 amieo     20   0  286112   3664   2164 S   0.0   0.0   0:00.09 gsd-pri+
   1754 amieo     20   0 1055596   8348   2736 S   0.0   0.1   0:00.88 gsd-med+
   1756 amieo     20   0  496552   2760   1988 S   0.0   0.0   0:00.08 gsd-usb+
   1763 amieo     20   0  377044   8368   3184 S   0.0   0.1   0:00.28 gsd-wac+
   1764 amieo     20   0  273404   1876   1272 S   0.0   0.0   0:00.08 gsd-scr+
   1765 amieo     20   0  381376   9792   4192 S   0.0   0.1   0:00.36 gsd-xse+
   1772 amieo     20   0  502640   4452   2692 S   0.0   0.1   0:02.69 gsd-sha+
   1792 amieo     20   0  156460   2512   1580 S   0.0   0.0   0:00.19 dconf-s+
   1803 amieo     20   0  162836   2232   1456 S   0.0   0.0   0:03.22 at-spi2+
   1806 amieo     20   0  380076   4080   2176 S   0.0   0.1   0:00.01 gsd-pri+
   1832 amieo     20   0 2041000  95584  19740 S   0.0   1.3  20:01.22 gala
   1867 amieo     20   0  912936   2724   1100 S   0.0   0.0   0:01.53 xdg-des+
   1871 amieo     20   0  716528   1596    876 S   0.0   0.0   0:00.34 xdg-doc+
   1874 amieo     20   0  273492    716    284 S   0.0   0.0   0:00.00 xdg-per+
   1879 root      20   0    2600    536    428 S   0.0   0.0   0:00.00 fusermo+
   1883 amieo     20   0  529140   9144   4204 S   0.0   0.1   0:00.37 xdg-des+
   1891 amieo     20   0    2616     72      0 S   0.0   0.0   0:00.00 sh
   1892 amieo     20   0  233432   1596   1096 S   0.0   0.0   0:00.00 pxgsett+
   1896 amieo     20   0  304020   2168   1548 S   0.0   0.0   0:00.01 io.elem+
   1901 amieo     20   0  305096   8180   3504 S   0.0   0.1   0:00.16 io.elem+
   1905 amieo     20   0  304828   7820   2804 S   0.0   0.1   0:00.19 xdg-des+
   1914 amieo     20   0  513460  31416  16180 S   0.0   0.4   0:40.75 plank
   1915 amieo     20   0 2928656  79384  17264 S   0.0   1.1   0:32.76 io.elem+
   1935 amieo     20   0  323584  30124   7612 S   0.0   0.4   0:07.47 bamfdae+
   1958 amieo     20   0  378188   8236   3212 S   0.0   0.1   0:00.18 gala-da+
   1983 amieo     20   0 1552708  23900   3780 S   0.0   0.3   0:00.29 io.elem+
   1985 amieo     20   0  752836  28900   3316 S   0.0   0.4   0:20.35 ulaunch+
   1986 amieo     20   0  377680   8204   3472 S   0.0   0.1   0:00.16 pantheo+
   1990 amieo     20   0  438568  20048  10100 S   0.0   0.3   0:10.01 nm-appl+
   1993 amieo     20   0  303776   7648   3016 S   0.0   0.1   0:00.17 io.elem+
   1994 amieo     20   0  274792    592    144 S   0.0   0.0   0:00.00 agent
   2001 amieo     20   0  230668   8184   3496 S   0.0   0.1   0:00.14 pantheo+
   2007 amieo     20   0  728528  34084  16556 S   0.0   0.5   0:04.34 io.elem+
   2008 amieo     20   0 1454072  22420   5852 S   0.0   0.3   0:00.38 io.elem+
   2010 amieo     20   0  194640   2932   1488 S   0.0   0.0   0:00.01 touchegg
   2029 amieo     20   0  406248  25300   1732 S   0.0   0.3   0:04.93 python3
   2118 amieo     20   0 1108072   5696   1776 S   0.0   0.1   0:00.09 evoluti+
   2155 amieo     20   0 1417224   6776   2360 S   0.0   0.1   0:00.26 evoluti+
   2184 amieo     20   0  792976   6064   2452 S   0.0   0.1   0:00.20 evoluti+
   2433 root      20   0  719820   2332      8 S   0.0   0.0   0:07.33 contain+
   2453 systemd+  20   0 2370132 359196   1636 S   0.0   4.8   3:25.62 mysqld
   2649 amieo     20   0  605940  12372   2012 S   0.0   0.2   0:00.38 io.elem+
   2656 amieo     20   0    2616     72      0 S   0.0   0.0   0:00.00 sh
   2657 amieo     20   0  233432   1596   1096 S   0.0   0.0   0:00.00 pxgsett+
   2662 amieo     20   0   36.7g 117292  66564 S   0.0   1.6   1:36.78 code
   2666 amieo     20   0   32.2g   9972   2408 S   0.0   0.1   0:00.01 code
   2667 amieo     20   0   32.2g   9660   2224 S   0.0   0.1   0:00.01 code
   2669 amieo     20   0   32.2g   7456      0 S   0.0   0.1   0:00.00 code
   2682 amieo     20   0   32.0g   1080    828 S   0.0   0.0   0:00.01 chrome_+
   2716 amieo     20   0   32.3g  26884  18280 S   0.0   0.4   0:01.82 code
